sample.ID	species	year.sampling	month.sampling	date.sampling	sex.bird	site.of.sampling	peak_score	mean_swel	Folder.me	Sample.ID	Genome.sequence.file.me	Origil.isolate.ID	trelabels	Lmes	final.name
2012_Blue_c2	HOFI	2012	8			Alabama			Sample_D8	2012_Blue_c2	AU2012_Blue.fasta	AU2012_BLUE P2	Sample_D8	Blue	AL_2012_3
2013_E054	HOFI	2013	8	12		Alabama			PRO1494_Plate1_B2	2013_E054	AU2013_E054.fasta	AU2013_EO54 MG P4	Sample_PRO1494_Plate1_B2	E054	AL_2013_1
2013_GW77_c1	HOFI	2013	9	4		Alabama			Sample_B11	2013_GW77_c1	AU2013_GW77.fasta	AU2013_GW77 MG P2	Sample_B11	GW77	AL_2013_5
2013_KB64_c1	HOFI	2013	8	26		Alabama			Sample_D7	2013_KB64_c1	AU2013_KB64.fasta	AU2013_KB64 MG P3	Sample_D7	KB64	AL_2013_2
2013_OY79_c1	HOFI	2013	9	5		Alabama			Sample_C3	2013_OY79_c1	AU2013_OY79.fasta	AU2013_OY79 MG P2	Sample_C3	OY79	AL_2013_6
2013_WU47_c2	HOFI	2013	8	7		Alabama			Sample_C9	2013_WU47_c2	AU2013_WU47.fasta	AU2013_WU47 MG P3	Sample_C9	WU47	AL_2013_3
2014-1_c1	HOFI	2014	8			Alabama			Sample_B8	2014-1_c1	AU2014_1.fasta	AU2014_1 P2	Sample_B8	A1	AL_2014_1
2015_A	HOFI	2015	8			Alabama	5	61.29272079	PRO1494_Plate1_A2	2015_A	2015_A.fasta	2015_A	Sample_PRO1494_Plate1_A2	A	AL_2015_1
2015_G	HOFI	2015	8			Alabama	4	37.58727976	PRO1494_Plate1_E2	2015_G	2015_G.fasta	2015_G	Sample_PRO1494_Plate1_E2	G	AL_2015_2
2015_J	HOFI	2015	8			Alabama	4	45.83252131	PRO1494_Plate1_D1	2015_J	2015_J.fasta	2015_J	Sample_PRO1494_Plate1_D1	J	AL_2015_3
2015_L	HOFI	2015	8			Alabama	5	36.36914535	PRO1494_Plate1_D2	2015_L	2015_L.fasta	2015_L	Sample_PRO1494_Plate1_D2	L	AL_2015_4
2015_Q	HOFI	2015	8			Alabama	5	38.83091807	PRO1494_Plate1_B1	2015_Q	2015_Q.fasta	2015_Q	Sample_PRO1494_Plate1_B1	Q	AL_2015_5
226_1_2000_c1	HOFI	2000	11		male	Alabama			Sample_C8	226_1_2000_c1	169125226-1_2000.fasta	169125226-1	Sample_C8	A2261	AL_2000_1
267_2000_c1	HOFI	2000	12		male	Alabama			Sample_D12	267_2000_c1	169125267_2000.fasta	169125267 2000	Sample_D12	A267	AL_2000_2
277_2001_c1	HOFI	2001	10	25	female	Alabama	3	29.74534187	Sample_A11	277_2001_c1	174194277 25 OCT 01_2001.fasta	174194277 25 OCT 01 P?2	Sample_A11	A277	AL_2000_11
297_2001_c1	HOFI	2001	1		female	Alabama			Sample_A4	297_2001_c1	169125297 31 JAN 01_2001.fasta	169125297 31 JAN 01 MG P?3	Sample_A4	A297	AL_2000_3
304_2003_c1a	HOFI	2003	9	10		Alabama	0	4.17743305	Sample_D6	304_2003_c1a	1851-80304_2003.fasta	185180304 10 SEP 03 P?2	Sample_D6	A304	AL_2003_4
361-1_2001_c1	HOFI	2001	8		male	Alabama	5	39.73164376	Sample_A10	361-1_2001_c1	169125361_1_2001.fasta	169125361-1 P4	Sample_A10	A3611	AL_2000_10
371_2001_c1	HOFI	2001	4		male	Alabama	2	12.1833457	Sample_E8	371_2001_c1	169124371_2001.fasta	169124371 P4	Sample_E8	A371	AL_2000_6
3891_1995	HOFI	1995				Georgia	2.5	7.37914626	PRO1494_Plate1_F1	3891_1995	3891 12 MAR 04 (Possibly K3891)_1995.fasta	3891 2 MAR 04 P?2	Sample_PRO1494_Plate1_F1	A3891	GA_1995_1
4013_1995_c1	HOFI	1995				Pennsylvannia	0.5	4.27602483	Sample_E7	4013_1995_c1	4013 12 MAR 04 (possibly K4013)_1995.fasta	4013 MG P?3 12 MAR 04	Sample_E7	A4013	PA_1995_1
404_2002	HOFI	2002	11	23	female	Alabama	3	19.03373794	PRO1494_Plate1_G1	404_2002	177190404 11-23-02_2002.fasta	177190404 11-23-02	Sample_PRO1494_Plate1_G1	A404	AL_2002_7
4094_1995_c1	HOFI	1995				Tennessee	3	20.45163079	Sample_E3	4094_1995_c1	4094 12 MAR 04_1995.fasta	4094 12 MAR 04 P?2	Sample_E3	A4094	TN_1995_1
421_BP_2002_c1	HOFI	2002	10	23		Alabama			Sample_D5	421_BP_2002_c1	421_BP_2002.fasta	421 BP 23 OCT 02	Sample_D5	BP421	AL_2002_6
442_2001_c1	HOFI	2001	1		male	Alabama	3.5		Sample_A6	442_2001_c1	169125442_2001.fasta	169125442 P4	Sample_A6	A442	AL_2000_4
454_2002_c1	HOFI	2001	11	13	male	Alabama			Sample_B7	454_2002_c1	169125454_2002.fasta	169125454 2002	Sample_B7	A454	AL_2000_12
471_2001_c1	HOFI	2001	2	13	male	Alabama			Sample_A5	471_2001_c1	169125471_2001.fasta	169125471 P3	Sample_A5	A471	AL_2000_5
489_2003_c1	HOFI	2003	3	5	female	Alabama	2.5	6.65318865	Sample_F3	489_2003_c1	177190489_2003.fasta	177190489 2003	Sample_F3	A489	AL_2003_1
506_2002_c1	HOFI	2002	9	16		Alabama	3	3.244665	Sample_A3	506_2002_c1	177190506 9-20-02_2002.fasta	177190506 9-20-02	Sample_A3	A506	AL_2002_4
509_2002_c1	HOFI	2002	9	13		Alabama			Sample_C10	509_2002_c1	177190509 13 SEP 02_2002.fasta	177190509 13 Sep 02	Sample_C10	A509	AL_2002_5
537_2002_c1	HOFI	2002	11	15	male	Alabama	3.5	54.28262108	Sample_C6	537_2002_c1	177190537 5 DEC 02_2002.fasta	177190537 5 Dec 02	Sample_C6	A537	AL_2002_8
547_2002_c1	HOFI	2002	11	27	male	Alabama			Sample_B10	547_2002_c1	177190547 27 NOV 02_2002.fasta	177190547 27 NOV 02	Sample_B10	A547	AL_2002_9
565_2001_c1	HOFI	2002	3	6	female	Alabama	0	9.91729104	Sample_A7	565_2001_c1	169125565_2001.fasta	169125565 P3	Sample_A7	A565	AL_2002_1
565_2002_c1a	HOFI	2002	8	16		Alabama	3.5	26.37759982	Sample_E10	565_2002_c1a	177190565 16 AUG 02_2002.fasta	177190565 16 AUG 02	Sample_E10	A56502	AL_2002_2
877_2003_c1	HOFI	2003	8	4		Alabama	5	64.30039929	Sample_B12	877_2003_c1	177190877_2003.fasta	177190877 P?4 2003 MG	Sample_B12	A877	AL_2003_2
933_2001_c1	HOFI	2001	5		male	Alabama	2.5	24.86265209	Sample_A2	933_2001_c1	169125933 4 JUN 01_2001.fasta	169125933 4 JUN 01	Sample_A2	A933	AL_2000_7
95Dec2_1995_c1	HOFI	1995				Alabama	3	18.94092693	Sample_D11	95Dec2_1995_c1	95Dec 2_1995.fasta	95 DEC 2 P?2	Sample_D11	95Dec2	AL_1995_4
K4269_1996_c1	HOFI	1996				Ohio	0	1.93344895	Sample_E4	K4269_1996_c1	K4269 17 MAR 04_1996.fasta	K4269 MG P?2 17 MAR 04	Sample_E4	K4269	OH_1996_1
K4366_1997_c1	AMGO	1997				South Caroli			Sample_E5	K4366_1997_c1	K4366_Goldfinch isolate_1997.fasta	K4366	Sample_E5	K4366	AMGO_1997
K4376_1996_c1	HOFI	1996				Missouri	0	0.40077445	Sample_F4	K4376_1996_c1	K4376_1996.fasta	K4376	Sample_F4	K4376	MO_1996_1
K4409_1997_c1	HOFI	1997				Texas			Sample_F8	K4409_1997_c1	K4409 16 MAR 04_1997.fasta	K4409 P?2 16 MAR 04	Sample_F8	K4409	TX_1997_1
K4548_1998_c1	HOFI	1998				Texas			Sample_E6	K4548_1998_c1	K4548 2_3_04_1998.fasta	K4548 P?3 2/3/04	Sample_E6	K4548	TX_1998_2
K4593_1998_c2	HOFI	1998				Maryland			Sample_C12	K4593_1998_c2	K4593 2_06_04_1998.fasta	K4593 P?3 2/6/04 MG	Sample_C12	K4593	MD_1998_1
MG99_2NS_c2	HOFI	1999				Alabama			Sample_D3	MG99_2NS_c2	MG99_2NS_1999.fasta	MG99 2NS	Sample_D3	MG992NS	AL_1999_4
MG99_ICE_NII_c1	HOFI	1999				Alabama			Sample_F5	MG99_ICE_NII_c1	MG99_ICE_NII_1999.fasta	MG 99 ICE NII	Sample_F5	MG99ICENII	AL_1999_5
Nov95_00_c1	HOFI	1995	11			Alabama	0	2.6240832	Sample_F6	Nov95_00_c1	Nov95_8-12-00_1995.fasta	"NOV 95	 8-12-00	 2-FEB-01 P?4"	Sample_F6	A00	AL_1995_1
Nov95_3_1995_c1	HOFI	1995	11	3		Alabama			Sample_F1	Nov95_3_1995_c1	Nov95_3_1995.fasta	NOV 95-3 7 DEC 01 MG P?4	Sample_F1	A3	AL_1995_3
Nov95_99_c1	HOFI	1999	11			Alabama			Sample_C4	Nov95_99_c1	Nov95from 10-11-99_1995.fasta	NOV 95 FROM 10-11-99 P?5	Sample_C4	A99	AL_1999_1
S11_1994_c1	HOFI	1994				Virginia	0	3.95042678	Sample_A1	S11_1994_c1	S11_1994.fasta	S11 1994 P?+2	Sample_A1	S11	VA_1994_1
	HOFI	2011													MG22_AL_11
	HOFI	2011													MG23_AL_11
	HOFI	2011													MG25_AL_11
	HOFI	2011													MG26_AL_11
	HOFI	2011													MG27_AL_11
	HOFI	2011													MG28_AL_11
	HOFI	2011													MG29_AL_11
	HOFI	2011													MG30_AL_11
	HOFI	2011													MG31_AL_11
	HOFI	2011													MG32_AL_11
	HOFI	2006													CA06_2006_052_5_2P
	HOFI	2006													NC06_2006_080_5_2P
	HOFI	2008													NC08_2008_031_4_3P
	HOFI	1995													NC95_13295_2_2P
	HOFI	1996													NC96_1596_4_2P
	HOFI	2001													NY01_2001_047_5_1P
	HOFI	1994													VA94_7994_1_7P
	HOFI	2001													WI01_2001_043_13_2P
